from,to,relation,weight
ICAO,K,2,2
K,ICAO,2,2
UN,K,2,2
K,UN,2,2
UNESCO,K,2,2
K,UNESCO,2,2
WTO,K,2,2
K,WTO,2,2
GCC,K,2,2
K,GCC,2,2
OPEC,K,2,2
K,OPEC,2,2
GR,K,2,2
K,GR,2,2
NAM,K,2,2
K,NAM,2,2
OIC,K,2,2
K,OIC,2,2
OECD,K,2,2
K,OECD,2,2
meam,QIA,7,1
meam,QE,7,3
meam,QA,7,3
meam,V,7,2
meam,QNB,7,2
mbaat,QIA,7,3
mbaat,K,7,4
mbhbkat,QIA,7,3
mbhbkat,e,6,1
e,mbhbkat,6,1
abaak,QIA,7,2
abaak,QNB,7,1
sbsak,QIA,7,2
sbsak,K,7,4
sbsak,QAE,7,1
mbhbqaaat,QIA,7,2
mbhbqaaat,K,7,4
mbhbqaaat,QAE,7,2
bbmbsat,QIA,7,2
nbgak,QIA,7,2
nbgak,PSG,7,1
hbaat,QIA,7,2
hbaat,e,6,2
e,hbaat,6,2
mbaat,e,6,1
e,mbaat,6,1
bbmbsat,e,6,1
e,bbmbsat,6,1
e,K,7,5
QIA,QNB,1,1
QIA,B,1,1
QIA,CS,1,1
QIA,DB,1,1
QIA,P,1,1
QIA,G,1,1
QIA,H,1,1
QIA,HAH,1,1
QIA,L,1,1
QIA,LSE,1,1
QIA,PSG,1,2
QIA,PO,1,1
QIA,RWE,1,1
QIA,S,1,1
QIA,SI,1,1
QIA,V,1,1
QIA,TC,1,1
QIA,VI,1,1
K,I,5,1
I,K,5,1
K,T,2,1
T,K,2,1
e,er,3,1
er,T,7,6
IHK,QFCA,3,1
QFCA,IHK,3,1
IHK,CH,8,1
QFCA,K,1,2
K,CR,5,2
CH,CR,1,2
CR,HBK,2,3
HBK,CR,2,3
K,HBK,1,2
CHEC,CH,8,1
QT,CHEC,2,2
CHEC,QT,2,2
QT,K,8,1
D,K,5,1
K,D,5,1
K,QAE,1,2
QAE,CP,2,3
CP,QAE,2,3
CP,USA,8,1
CP,D,5,1
D,CP,5,1
QAE,J,5,1
J,QAE,5,1
QAE,SK,5,1
SK,QAE,5,1
QAE,ID,5,1
ID,QAE,5,1
QAE,SIN,5,1
SIN,QAE,5,1
SIN,CH,8,1
QAE,EX,5,1
EX,QAE,5,1
EX,USA,8,1
QAE,QAL,1,2
HAA,QAL,1,2
QAE,HAA,2,2
HAA,QAE,2,2
K,N,5,1
N,K,5,1
HAA,N,8,1
K,TA,5,1
TA,K,5,1
K,GB,5,1
GB,K,5,1
K,POL,5,1
POL,K,5,1
K,PA,5,1
PA,K,5,1
K,ITA,5,1
ITA,K,5,1
K,AJ,1,2
mbn,QF,7,1
hbkat,QF,7,1
hbkat,mbn,6,1
mbn,hbkat,6,1
mbn,e,6,1
hbkat,e,6,1
e,mbn,6,1
e,hbkat,6,1
hbaat,mbaat,6,1
mbaat,hbaat,6,1
hbaat,mbhbkat,6,1
mbhbkat,hbaat,6,1
hbaat,bbmbsat,6,1
bbmbsat,hbaat,6,1
hbaat,hbkat,6,1
hbkat,hbaat,6,1
mbaat,mbhbkat,6,1
mbhbkat,mbaat,6,1
mbaat,bbmbsat,6,1
bbmbsat,mbaat,6,1
mbaat,hbkat,6,1
hbkat,mbaat,6,1
mbhbkat,bbmbsat,6,1
bbmbsat,mbhbkat,6,1
mbhbkat,hbkat,6,1
hbkat,mbhbkat,6,1
bbmbsat,hbkat,6,1
hbkat,bbmbsat,6,1
K,QF,1,2
QF,USA,2,3
USA,QF,2,3
QF,GB,2,3
GB,QF,2,3
QF,F,2,3
F,QF,2,3
QIA,PT,1,2
QIA,VIV,1,1
QIA,VE,1,1
QIA,TE,1,1
QIA,CA,1,2
QIA,M,1,2
QIA,R,1,2
QIA,PE,1,2
QIA,CL,1,2
QIA,HDL,1,2
QIA,HL,1,1
PT,F,8,1
VIV,F,8,1
VE,F,8,1
TE,F,8,1
CA,F,8,1
M,F,8,1
R,F,8,1
PE,F,8,1
CL,F,8,1
HDL,F,8,1
HLA,F,8,1
nbgak,e,6,2
e,nbgak,6,2
PSG,F,8,1
QA,FCB,3,1
aab,QA,7,1
aab,e,6,1
e,aab,6,1
FCB,D,8,1
K,ASR,3,1
ASR,ITA,8,1
K,VFL,1,1
V,VFL,1,2
VFL,D,8,1
HWM,K,2,3
K,HWM,2,3
LWM,K,2,3
K,LWM,2,3
WM,K,2,3
K,WM,2,3
FO,K,2,3
K,FO,2,3
K,USA,2,1
USA,K,2,1
K,AL,3,1
AL,K,8,1
USA,AL,1,2
dt,USA,7,6
dt,e,2,1
e,dt,2,1
QAE,PF,1,2
CPC,PF,1,2
CPC,USA,8,1
K,QAE,1,2
GRA,USA,8,1
K,GRA,5,2
TE,QAE,2,3
QAE,TE,3,2
K,TAL,3,2
K,Q,3,1
K,AN,3,1
K,HA,3,1
e,AL,1,2
AL,MUS,3,2
QC,MUS,3,1
QC,K,8,1
hbkat,MUS,3,2
mbaat,MUS,3,2
B,USA,8,1
CS,SCH,8,1
DB,D,8,1
P,RU,8,1
G,SCH,8,1
H,GB,8,1
HAH,GB,8,1
L,F,8,1
LSE,GB,8,1
PO,D,8,1
RWE,D,8,1
S,GB,8,1
SI,D,8,1
TC,USA,8,1
VI,F,8,1
V,D,8,1
QIA,HLA,1,2
HL,D,8,1
